Name,Description,MainProfile,SecondaryProfile,Skills,Talents,Entries,Exits
Judical Champion,"A number of Old World countries legally allow a defendant to proof his innocence via trial by combat. The accused are usually pitted against the local Judicial Champion, a professional fighter who specializes in defeating a single opponent swiftly and efficiently. Many of the laws that allow such combats state that specific weapons must be used; meaning Judicial Champions are well versed with a wide variety of arms. Correspondingly, Judicial Champions are both respected and feared warriors, whose prowess often precedes them. Noble defendants and the wealthy may sometimes be capable of hiring a Judicial Champion to fight in their place","35,0,15,20,10,15,0","2,6,0,0,0,0,0,0","Dodge Blow, Perception","Lightning Parry, Specialist Weapon Group (Fencing), Specialist Weapon Group (Flail), Specialist Weapon Group (Parrying), Specialist Weapon Group (Two-handed)","Sergeant, Veteran","Assassin, Champion, Sergeant, Witch Hunter, Zealot"
Knight,"Knights are professional Soldiers, generally, but not always of Noble blood. They specialize in fighting in heavy armour while using large weapons, often from horseback, and comprise a general’s most elite shock troops. Many Knights have a duty to protect the lower classes, though not all of them acknowledge it. There are a large number of knightly orders hailing from both the Empire and Bretonnia, such as the Knights of the White Wolf, the Knights Panther, the Reiksgard Knights, and the Grail Knights. Religious orders of Knights are known as templars. ","25,0,15,15,15,5,15,5","1,4,0,0,0,0,0,0","Academic Knowledge (Genealogy/Heraldry or Religion), Academic Knowledge (Strategy/Tactics), Dodge Blow, Perception, Ride, Secret Language (Battle Tongue), Speak Language (any two)","Specialist Weapon Group (Cavalry), Specialist Weapon Group (Flail), Specialist Weapon Group (Two-handed), Strike Mighty Blow","Noble Lord, Pistolier, Sergeant, Squire, Vampire Hunter","Captain, Initiate, Knight of the Inner Circle, Noble Lord, Vampire Hunter"
Knight Of The inner Circle,"Within each knightly order there are those who rise to the top, the best of the best. They have proven themselves valiant and loyal time and time again and for that they are brought into the inner circle of the order. They command Knights in the field, represent the order at court, and make the important decisions. They are some of the greatest warriors the Old World has to offer and many of them have been entrusted with dangerous secrets about the foundations of their group. Each one of them aspires to become the Grand Master of his order. That is the pinnacle of knighthood.","35,10,20,20,20,15,25,15","2,8,0,0,0,0,0,0","Academic Knowledge (Genealogy/Heraldry or Religion), Academic Knowledge (Strategy/Tactics), Animal Training, Charm, Command, Common Knowledge (any three), Dodge Blow, Perception, Read/ Write, Ride, Secret Language (Battle Tongue), Secret Signs (Scout or Templar), Speak Language (Breton, Estalian, Kislevian, or Tilean)","tiquette, Lightning Parry, Seasoned Traveller, Specialist Weapon Group (Fencing), Specialist Weapon Group (Parrying), Stout-hearted, Strike to Injure, Strike to Stun","Knight, Witch Hunter","Captain, Champion, Noble Lord, Witch Hunter"
Master Thief,"In every profession there are those who rise to the top. Master Thieves are the grand artistes of the criminal world. They are the best Thieves there are, proficient in all the skills that it takes to illegally acquire the goods of others. Master Thieves are usually a part of the local Thieves’ Guild structure, but as bravos who regularly flout the law, many of them are content to operate, ironically enough, “illegally”, e.g. without the approval of the local Crime Lord. The Empire has a long tradition of secretly admiring bold Thieves, though they will still be punished if caught.","20,20,10,10,40,25,20,25","1,6,0,0,0,0,0,0","Charm, Concealment, Disguise, Dodge Blow, Evaluate, Gamble or Lip Reading, Gossip, Perception, Pick Lock, Read/Write, Scale Sheer Surface, Secret Language (Thieves’ Tongue), Secret Signs (Thief), Search, Silent Move, Sleight of Hand, Swim","Specialist Weapon Group (Crossbow), Specialist Weapon Group (Throwing), Street Fighting or Swashbuckler, Streetwise, Trapfinder","Cat Burglar, Crime Lord, Fence, Highwayman, Racketeer, Spy","Crime Lord, Explorer, Outlaw Chief, Targeteer"
Master Wizard,"A Master Wizard is one who wields magic with surety and finesse. Elf Wizards find this level of spell casting easy to attain, but for a Human, it is a life’s work. By the time they reach this level of mastery, most Wizards begin to exhibit eccentricities and physical changes wrought by close association with magic. Master Wizards usually prefer to spend their time researching or politicking with fellow magisters. However, their Order usually requires them to adventure in the world at large, furthering the cause of their art, and seeking out young folk to apprentice.","10,10,0,10,15,30,35,15","0,4,0,0,0,3,0,0","Academic Knowledge (Magic), Academic Knowledge (any two), Channelling, Charm or Intimidate, Common Knowledge (any two), Gossip or Ride, Magical Sense, Read/Write, Speak Arcane Language (Magick), Speak Arcane Language (Daemonic or Arcane Elf), Speak Language (any three)","Aethyric Attunement or Meditation, Dark Magic or Strong-minded, Fast Hands or Mighty Missile, Lesser Magic (any two)",Journeyman Wizard,"Explorer, Scholar, Wizard Lord"
Mate,"Mates serve on ships as the second in command, answering directly to the Captain of the vessel. They are responsible for ensuring that the Captain’s orders are carried out, which can be a trying task with even the most professional of crews. Mates have to be stern but fair, earning the respect of their crew or they will swiftly find themselves the butt of many practical jokes and far worse if a mutiny should occur. Mates are always experienced sailors, often with several voyages under their belt and there are few ports they haven’t drank, fought, or caroused in.","15,15,10,15,10,10,10,10","1,4,0,0,0,0,0,0","Command, Common Knowledge (any two), Consume Alcohol, Dodge Blow, Gamble, Gossip, Intimidate, Row, Sail, Speak Language (Breton, Kislevian, or Norse), Swim, Trade (Shipwright)","Resistance to Disease, Seasoned Traveller, Street Fighting","Marine, Seaman","Explorer, Merchant, Navigator, Sea Captain"
Merchant,"Merchants are speculators who arrange to move large amounts of goods from city to city, seeking the market that they will make the most handsome profit in. They seldom interact with the populace as they deal in bulk, generally selling their goods to Burghers and Tradesmen. Merchant Guilds are extremely influential in the Empire and they are slowly usurping the position once held by Nobles in the Old World. Even the poorest Merchant tends to be very wealthy, indeed, many use their wealth to buy legitimacy, purchasing titles or marrying their children into Noble families.","10,10,5,5,10,25,20,20","0,4,0,0,0,0,0,0","Charm, Common Knowledge (any two), Drive, Evaluate, Gossip, Haggle, Read/Write, Ride, Secret Language (Guild Tongue), Speak Language (Breton, Estalian, Kislevian, or Norse), Speak Language (Reikspiel), Trade (Merchant)","Dealmaker or Streetwise, Super Numerate","Artisan, Burgher, Captain, Envoy, Explorer, Fisherman, Innkeeper, Mate, Scholar, Steward, Tradesman","Guild Master, Militiaman, Politician, Racketeer, Spy"
Minstrel,"Minstrels are wandering musicians who travel the roads of the Old World bringing their songs and entertainment to those who desperately need it. The original and most renowned Minstrels were Elves but now many Humans follow in their footsteps. Minstrels are close to sacred in the Old World. They can walk into some of the most dangerous dens of cutthroats and come out unscathed (as long as they’re willing to provide free entertainment, of course). Occasionally, a Minstrel will accept patronage from a Noble or Merchant and settle down for a time, composing songs at his patron’s request. Eventually, though, the open road calls and the Minstrel moves on again. ","10,10,0,0,15,10,5,25","0,4,0,0,0,0,0,0","Charm, Common Knowledge (any two), Gossip, Perception, Performer (Musician), Performer (Singer), Read/Write, Speak Language (Breton, Eltharin or Tilean)","Etiquette, Pubic Speaking",Entertainer,"Charlatan, Demagogue, Highwayman, Spy, Student"
Navigator,"Navigators have the critically important task of getting a ship where it is supposed to go. Old World Navigators typically use charts to set their course, though they are often also capable of navigating by sun and stars. Navigators know the secrets of wind and tide, which makes them seem somewhat mystical to their sailor brethren and they are often regarded as a breed apart. Navigators are, by necessity, cartographers, charting the course of their voyages so that they may retrace them or that others may follow their route. As there are no compasses in the world, all ships employ a skilled Navigator, as do some overland expeditions.","10,10,5,5,10,25,10,5","0,4,0,0,0,0,0,0","Academic Knowledge (Astronomy), Common Knowledge (any two), Navigation, Perception, Read/ Write, Speak Language (Classical), Swim, Trade (Cartographer)",Orientation,"Boatman, Fisherman, Mate, Scribe, Seaman","Artisan, Explorer, Scholar, Sea Captain"
Noble Lord,"Noble Lords are members of the nobility with actual power and responsibility, unlike the many dilettantes who fill the courts of the Old World. Some inherit their positions, whereas others forcefully claw their way to them. All of them tend to be strong-willed, adroit public speakers, and skilled fighters. They must be adept at resolving local disputes, negotiating court politics, and leading troops in the field. Some of the most powerful Noble Lords in the Empire are the Elector Counts who choose from among their number who will be the next Emperor.","25,15,10,10,10,20,20,30","1,6,0,0,0,0,0,0","Academic Knowledge (History or Strategy/Tactics), Academic Knowledge (Genealogy/Heraldry), Charm, Command, Common Knowledge (the Empire), Evaluate, Gossip, Perception, Read/Write, Ride, Speak Language (Classical), Speak Language (Reikspiel)","Master Orator, Public Speaking, Specialist Weapon Group (Fencing)","Courtier, Knight, Knight of the Inner Circle, Politician, Sea Captain","Captain, Knight, Scholar, Sea Captain"
Outlaw Chief,"Every band of brigands needs a leader. An Outlaw who shows he is both cunning and bold can rise to the level of Outlaw Chief. Commanding a lawless group of dangerous men is no easy task and the perilous forests of the Old World don’t make the job any easier. Outlaw Chiefs get their pick of the loot their band acquires, but they are also held responsible for every failure and their grasp on leadership is tenuous. Outlaw bands are notorious for not allowing any of their members to simply retire, which may make leaving the Chief ’s post a difficult task.","20,30,10,20,10,10,10,20","2,6,0,0,0,0,0,0","Academic Knowledge (Strategy/Tactics), Command, Common Knowledge (the Empire), Concealment, Follow Trail, Perception, Ride, Scale Sheer Surface, Secret Language (Battle Tongue), Secret Language (Thieves’ Tongue), Secret Signs (Scout or Thief), Silent Move","Lightning Parry, Mighty Shot, Quick Draw, Rapid Reload, Sure Shot","Crime Lord, Demagogue, Ghost Strider, Highwayman, Master Thief, Racketeer, Scout, Veteran","Assassin, Captain, Crime Lord, Demagogue"
Physician,"Physicians are practitioners of the healing arts who study the mysteries of illness and anatomy. The science of medicine is relatively new and still distrusted by the majority of Old World citizens. Many regard unknown Physicians as either trumped up apothecaries or dangerous quacks until they’ve proven themselves. Skilled Physicians, however, are often well-respected members of their communities. They are capable of dealing with most minor ailments and a number of more straightforward injuries, such as major cuts or crushing wounds. Physicians are often eager to seek out new medicines and learn about more effective treatments.","0,0,10,10,15,30,20,15","0,4,0,0,0,0,0,0","Academic Knowledge (Science), Heal, Gossip, Perception, Prepare Poison, Read/Write, Speak Language (Classical), Trade (Apothecary","Resistance to Disease, Strike to Stun, Surgery","Barber-Surgeon, Interrogator, Scholar, Student","Friar, Guild Master, Scholar, Spy"
Pistolier,"Pistoliers are the elite light cavalry of the Imperial Army. They specialize in wielding firearms, specifically pistols. Pistoliers have only come into their own recently, as gunpowder weapons have been relatively unstable until now in the Old World. Because of the expense of their weapons and the constant upkeep that pistols and warhorses require, Noblemen dominate the ranks of the Pistoliers. Many young Nobles volunteer for the Pistoliers in search of glory or in the hopes of making a name. ","20,20,10,10,15,0,15,15","1,4,0,0,0,0,0,0","Animal Care, Dodge Blow, Evaluate or Gossip, Perception, Ride, Secret Signs (Scout)","Master Gunner, Quick Draw, Rapid Reload, Sharpshooter, Specialist Weapon Group (Gunpowder), Mighty Shot, Sure Shot","Engineer, Noble","Courtier, Duellist, Knight, Sergeant, Veteran"
Politician,"While the Nobles are nominally “in charge” of most of the Old World’s countries, it is the Politicians who actually run the villages, towns, and cities of the Empire. They are an often reviled and frequently corruptible lot whose ranks include burgomeisters, mayors, and other civil servants. Some are elected to their positions, while others are appointed. Politicians frequently find themselves between various dangerous factions and have to swiftly become skilled at the fine art of compromise. They are experts at saying exactly what people want to hear, though if they actually follow through on their promises, it’s a minor miracle","5,5,5,10,0,20,10,20","0,4,0,0,0,0,0,0","Academic Knowledge (History or Genealogy/Heraldry), Academic Knowledge (Law), Blather, Charm, Command, Common Knowledge (the Empire), Evaluate, Gossip, Haggle, Perception, Performer (Actor), Read/Write, Speak Language (Reikspiel)","Dealmaker or Schemer, Etiquette or Streetwise, Master Orator, Public Speaking","Agitator, Bailiff, Captain, Charlatan, Courtier, Crime Lord, Demagogue, Guild Master, Herald, High Priest, Merchant, Noble, Peasant, Racketeer, Toll Keeper","Courtier, Crime Lord, Demagogue, Noble Lord, Racketeer, Steward"
Priest,"Priests are ordained men and women who administer to the needs of the faithful throughout the Old World. Their Gods gift them with the ability to channel small amounts of divine energy, to aid in their works. Many Priests will be assigned to a specific region or church, others are wanderers who go where they feel they can do the most good. The receptions they get are directly linked to their deity. A Priestess of Shallya is likely to be received warmly no matter where she goes, whereas a Priest of Ulric is likely to only be heartily welcomed when a great battle is in the offing.","10,10,5,10,5,10,20,15","0,4,0,0,0,1,0,0","Academic Knowledge (any one), Academic Knowledge (Theology), Channelling, Charm, Common Knowledge (any two), Gossip, Heal, Magical Sense, Perception, Read/Write, Ride or Swim, Speak Arcane Language (Magick), Speak Language (any two)","Armoured Caster or Master Orator, Petty Magic (Divine), Strike to Injure or Strike to Stun","Flagellant, Friar, Initiate","Anointed Priest, Flagellant, Scholar, Steward"
Racketeer,"Racketeers make up the general ranks of most criminal organisations. They are experts at extorting protection money from small businesses, which tends to be their most lucrative operation. Successful Racketeers move into such activities as loan sharking, drug pedalling, prostitution and illegal gambling dens. They are seldom very imaginative, insofar as criminals go, but they are generally ruthless and used to having their own way. Racketeers are sometimes even a part of the local government, which makes rooting them out a very tricky business for law enforcement. In some areas, they are the local law enforcement.","20,15,15,10,10,0,15,10","1,5,0,0,0,0,0,0","Command, Common Knowledge (the Empire), Dodge Blow, Evaluate, Gossip, Haggle, Intimidate, Perception, Shadowing","Menacing, Street Fighting, Streetwise, Strike Mighty Blow, Strike to Stun","Bailiff, Bodyguard, Cat Burglar, Fence, Guild Master, Interrogator, Merchant, Politician, Protagonist, Spy, Thug","Fence, Master Thief, Politician, Outlaw Chief"
Scholar,"Scholars are academicians who have dedicated their lives to the pursuit of knowledge. Scholars include sages who delve into philosophy and scientific theory, monks who specialize in religious lore, and tutors who strive to educate the children of wealthy Merchants and Nobles. Some Scholars are driven to pursue esoteric or forbidden knowledge. Such a path requires great mental fortitude and a willingness to risk discovery by Witch Hunters and other Zealots. Those that actively study and pursue the law, such as clerks and lawyers, are considered to be a specialized form of Scholar in the Old World.","5,5,5,5,10,30,15,15","0,4,0,0,0,0,0,0","Academic Knowledge (any three), Common Knowledge (any three), Evaluate or Trade (Cartographer), Perception, Read/Write, Speak Language (any three), Speak Language (Classical)",Linguistics,"Anointed Priest, Apprentice Wizard, Friar, High Priest, Journeyman Wizard, Master Wizard, Navigator, Noble Lord, Physician, Priest, Scribe, Sea Captain, Student","Apprentice Wizard, Explorer, Friar, Merchant, Physician, Steward"
Scout,"Scouts are rare individuals who are more at home in the wild than in the teeming cities of the Old World. They roam through the wilderness, following trails that few other eyes can discern, while keeping an eye out for dangerous beasts and unnatural occurrences. Scouts are often more comfortable with animals than other people. They frequently hire their expertise out to armies, Merchants, and travellers who need to go far off the known roads. They usually roam ahead of their clients, seeking out ambushes and other troubles that may beset a large group on the move.","20,20,10,10,15,20,15,0","1,6,0,0,0,0,0,0","Animal Care, Common Knowledge (any two), Concealment, Dodge Blow, Follow Trail, Navigation, Perception, Ride, Secret Language (Ranger Tongue), Secret Signs (Scout), Silent Move, Speak Language (any two)","Charm Animal, Mighty Shot or Sure Shot, Orientation, Rapid Reload, Specialist Weapon (Crossbow or Longbow","Bounty Hunter, Champion, Charcoal-Burner, Coachman, Fieldwarden, Hunter, Kithband Warrior, Messenger, Miner, Outrider, Roadwarden, Runebearer, Vagabond, Woodsman","Explorer, Outlaw Chief, Sergeant, Vampire Hunter, Ghost Strider"
Sea Captain,"Sea Captains roam the oceans of the Old World seeking profit and adventure over the next horizon. Strictly honourable Sea Captains are far-travelling traders who only sail in search of the most profitable markets for their goods. The most dangerous are bloodthirsty pirates, attacking other ships for plunder and leaving no survivors. Most Sea Captains fall somewhere in between. On a sea-going vessel a Captain’s word is law. Sailors, however, are a fractious lot; a Sea Captain must be clever, strong-willed and a bit ruthless to stay in command. The most famous Sea Captains come from Marienburg, Tilea, and the Elven island of Ulthuan. ","25,20,15,20,20,20,25,30","2,6,0,0,0,0,0,0","Academic Knowledge (Strategy/Tactics), Animal Training, Command, Common Knowledge (any three), Dodge Blow, Perception, Sail, Speak Language (any three), Swim, Trade (Cartographer or Shipwright)","Disarm, Lightning Parry or Swashbuckler, Seasoned Traveller, Specialist Weapon Group (Fencing), Strike Mighty Blow","Explorer, Mate, Navigator, Noble Lord","Explorer, Noble Lord, Scholar, Spy"
Sergeant,"Sergeants are professional warriors who’ve managed to impress either a Captain or a Noble with their ability to command men in battle. They lead small units of Soldiers, Militiamen, Mercenaries and Roadwardens, ensuring that orders are carried out to the letter. Some lead by setting a sterling example, others by terrifying their troops into quick obedience. Those who make their troopers lives a priority tend to be the most popular. The best Sergeants earn the respect of their Soldiers with their own blood and courage. They are often called upon to lead their men into danger and they swiftly become experts at assessing the capabilities of others.","20,15,10,10,10,10,10,20","1,4,0,0,0,0,0,0","Academic Knowledge (Strategy/Tactics), Command, Common Knowledge (any two), Dodge Blow, Gossip, Intimidate, Perception, Ride or Swim, Secret Language (Battle Tongue), Speak Language (Tilean)","Menacing or Seasoned Traveller, Street Fighting or Wrestling, Strike Mighty Blow, Strike to Stun","Assassin, Champion, Duellist, Highwayman, Judicial Champion, Kislevite Kossar, Marine, Mercenary, Militiaman, Norse Berserker, Pistolier, Roadwarden, Scout, Shieldbreaker, Soldier, Squire, Targeteer, Veteran, Watchman","Captain, Duellist, Judicial Champion, Knigh"
Spy,"Spies are secret agents who gather information for their patrons or the highest bidder. Spies are masters of disguise who often risk their lives to work undercover in enemy territory. Some will even join subversive groups and study them for months from the inside. A Spy who dares to infiltrate a Chaos coven risks far worse than death, but there are many groups in the Old World who desperately need the information such a stout soul can provide. All the nations of the Old World employ Spies, usually to monitor the military and political moves of their rivals.","15,15,5,10,20,20,35,20","1,4,0,0,0,0,0,0","Charm, Common Knowledge (any two), Concealment, Disguise, Gossip, Lip Reading, Performer (Actor), Pick Lock, Shadowing, Sleight of Hand, Secret Language (any one), Silent Move, Speak Language (any three)","Flee!, Linguistics, Schemer, Suave or Sixth Sense","Camp Follower, Charlatan, Courtier, Explorer, Merchant, Minstrel, Physician, Sea Captain, Servant","Assassin, Explorer, Master Thief, Racketeer"
Steward,"A Steward is a household manager, entrusted with arranging all the bothersome everyday details that Nobles and the very rich, such as successful Merchants or powerful clergy, cannot be bothered to deal with. While a Noble Lord will often have no idea what he is worth or how much it takes to upkeep his affairs and various holdings, his Steward will know down to the last shilling. As wealthy Nobles tend to have far flung estates, some Stewards may be put in charge of a property and left to their own devices for years at a time","10,10,10,10,0,30,20,25","0,4,0,0,0,0,0,0","Academic Knowledge (Law), Charm, Command, Common Knowledge (the Empire), Evaluate, Gossip, Haggle, Intimidate, Perception, Read/Write, Ride, Search, Speak Language (Reikspiel), Trade (Merchant)","Public Speaking, Super Numerate","Courtier, Politician, Priest, Scholar, Valet","Crime Lord, Fence, Merchant, Noble"
Targeteer,"Targeteers dedicate themselves to perfecting their skill with missile weapons, most often the mighty longbow, though a rare few prefer the crossbow. They regularly travel to different fairs, delighting crowds with their trick shooting and pitting their skills against all-comers in impromptu contests. Many Nobles regularly hold archery tourneys with a fair purse to the winner and a professional Targeteer can make a decent living if he is skilled enough to regularly claim a prize or two. In these grim times, a Targeteer’s uncanny skill with a bow is in high demand among armies and Mercenary companies.","0,35,10,10,25,10,20,15","1,4,0,0,0,0,0,0","Common Knowledge (the Empire), Gossip, Outdoor Survival, Perception, Search, Sleight of Hand","Mighty Shot, Rapid Reload, Sharpshooter, Specialist Weapon Group (Longbow), Specialist Weapon Group (Crossbow or Throwing), Sure Shot","Bounty Hunter, Hunter, Ghost Strider, Master Thief, Vampire Hunter, Veteran","Assassin, Champion, Duellist, Sergeant"
Vampire Hunter,"Vampire Hunters are driven souls who seek to destroy the Undead by any means necessary. Many of them have lost friends and family members to the Restless Dead, most often to their namesake. Since any but the most cursory knowledge of the Undead is a forbidden subject in the Empire, Vampire Hunters are a self-made lot. They congregate quietly with others of their ilk; sharing what little knowledge they’ve gleaned from their more successful encounters with the forces of the Restless Dead in hopes of one day finding a sure method of killing vampires.","20,20,10,20,15,15,20,0","1,4,0,0,0,0,0,0","Academic Knowledge (History or Necromancy), Common Knowledge (the Empire), Concealment, Dodge Blow, Follow Trail, Perception, Scale Sheer Surface, Shadowing, Search, Silent Move, Speak Language (Classical)","Mighty Shot or Rapid Reload, Specialist Weapon Group (Crossbow), Stout-hearted, Strike Mighty Blow, Strike to Injure, Tunnel Rat","Bounty Hunter, Field Warden, Ghost Strider, Knight, Scout, Tomb Robber","Demagogue, Initiate, Knight, Targeteer, Witch Hunter"
Veteran,"A professional Soldier or Mercenary who survives a great many battles, but cares not in the slightest for rising up the ranks, eventually finds himself a Veteran. Veterans are, first and foremost, survivors. They don’t volunteer for suicide missions and they don’t take unnecessary risks, but when the time comes to get stuck in, they’re some of the toughest troops on the field. Off-duty Veterans are always good for old war tales. They carouse with a will, knowing that their time may be short and there’s no sense in dying with gold still in your pockets.","20,20,10,10,15,0,15,0","1,6,0,0,0,0,0,0","Common Knowledge (the Empire), Consume Alcohol, Dodge Blow, Gamble, Gossip, Intimidate, Perception, Secret Language (Battle Tongue)","Mighty Shot or Strike Mighty Blow, Rapid Reload or Strike to Injure, Specialist Weapon Group (any two), Very Resilient or Very Strong","Flagellant, Kislevite Kossar, Kithband Warrior, Mercenary, Norse Berserker, Outlaw, Pistolier, Pit Fighter, Runebearer, Shieldbreaker, Soldier, Squire","Champion, Judicial Champion, Outlaw Chief, Sergeant, Targeteer"
Witch Hunter,"Witch Hunters are grim individuals who have dedicated their lives to eradicating the forces of Chaos, either in the service of the state or the Church of Sigmar. They prefer to seek out Chaos cultists, Mutants, and heretics that have insidiously hidden amidst the cities of the Empire. However, they will travel far indeed if they think they can strike a meaningful blow against the forces of evil. Witch Hunters tend to be a surly and suspicious lot with no qualms about killing innocents, so long as they also manage to slay the guilty, which means their appearance is often regarded with dread by other folk.","30,30,15,15,15,15,35,20","2,6,0,0,0,0,0,0","Academic Knowledge (Magic), Academic Knowledge (Necromancy), Academic Knowledge (Theology), Charm, Command, Common Knowledge (the Empire), Gossip, Intimidate, Perception, Ride, Search, Silent Move, Speak Language (any one)","Lightning Parry, Lightning Reflexes or Marksman, Menacing, Public Speaking, Sixth Sense, Specialist Weapon Group (Crossbow), Specialist Weapon Group (Entangling), Specialist Weapon Group (Throwing), Stout-hearted, Strike Mighty Blow","Anointed Priest, Assassin, Champion, High Priest, Judicial Champion, Knight of the Inner Circle, Vampire Hunter","Captain, Champion, Demagogue, Initiate, Knight of the Inner Circle"
Wizard Lord,"Within the Empire, the Lords of the Magical Orders are powerful individuals indeed. They no longer see the world as others do, however, having dedicated their very souls to magic. They now embody their chosen Lore in word, deed and physical form. Should an Elf attain this level of magical skill, he is considered to have completed his minor magic apprenticeship, and is ready to travel to the towers of Hoeth to become a High Mage.","15,15,5,15,20,35,40,20","0,5,0,0,0,4,0,0","Academic Knowledge (Magic), Academic Knowledge (any three), Channelling, Charm or Intimidate, Common Knowledge (any three), Magical Sense, Read/Write, Speak Arcane Language (Magick), Speak Arcane Language (Daemonic or Arcane Elf), Speak Language (any four)","Aethyric Attunement or Mighty Missile, Dark Magic or Meditation, Fast Hands or Hardy, Lesser Magic (any two)",Master Wizard,"Explorer, Guild Master"